,Chi2,MutualInfo,ReliefF,Lasso
f1,-0.207,-0.077,0.174,0.224
f1v,-0.316,0.077,0.469,0.331
f2,0.178,0.12,0.462,0.151
f3,0.075,0.184,0.429,0.588
f4,0.213,0.293,0.531,0.634
l1,-0.158,0.24,0.296,0.34
l2,-0.219,0.179,0.232,0.315
l3,-0.199,0.193,0.261,0.289
n1,-0.282,-0.063,-0.034,-0.036
n2,-0.056,-0.103,-0.047,0.02
n3,-0.213,-0.144,-0.102,-0.227
n4,-0.188,0.05,0.189,0.086
t1,-0.168,-0.023,0.154,0.062
lsc,-0.007,0.263,0.421,0.465
density,-0.243,-0.026,-0.065,-0.251
clsCoef,-0.143,-0.252,-0.267,-0.551
hubs,-0.248,-0.066,-0.093,-0.247
t2,-0.09,-0.343,-0.253,-0.544
t3,-0.095,-0.347,-0.252,-0.542
t4,-0.209,-0.036,0.137,0.107
c1,0.153,-0.049,-0.123,-0.06
c2,0.123,0.025,-0.031,-0.002
score,-0.257,0.049,0.457,0.301
