project_name,CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM
BugPrediction_Eclipse,0.068623,0.047566,0.211041,0.13803,0.150004,0.057237,0.037875,0.171973,0.117652
BugPrediction_Equinox,0.035582,0.054274,0.176394,0.127235,0.161104,0.050701,0.019095,0.245775,0.129841
BugPrediction_lucene,0.069527,0.048245,0.132994,0.137248,0.17586,0.037005,0.083624,0.167016,0.148481
BugPrediction_Mylyn,0.074027,0.067601,0.160136,0.134362,0.167308,0.029019,0.02684,0.223334,0.117373
BugPrediction_PDE,0.075257,0.06113,0.159806,0.1195,0.141809,0.064407,0.026463,0.208151,0.143478
Github_Android,0.014458,0.082462,0.143706,0.179605,0.132496,0.051596,0.030378,0.254597,0.110701
Github_antlr4,0.082211,0.052047,0.224228,0.126194,0.15281,0.034419,0.056363,0.165005,0.106722
Github_BroadleafCommerce,0.165886,0.035156,0.235881,0.094991,0.120839,0.041429,0.012359,0.179334,0.114124
Github_ceylon,0.10039,0.063421,0.172147,0.098633,0.139705,0.048881,0.028534,0.201623,0.146665
Github_Elasticsearch,0.081466,0.073874,0.152449,0.163464,0.144397,0.063967,0.021073,0.172089,0.127221
Github_hazelcast,0.077155,0.048276,0.155701,0.151499,0.161599,0.05931,0.019929,0.193346,0.133185
Github_JUnit,0.052795,0.072187,0.130478,0.111344,0.137753,0.113326,0.056413,0.190081,0.135623
Github_mapdb,0.054456,0.104023,0.178439,0.134022,0.129892,0.054578,0.048935,0.180049,0.115605
Github_mcMMO,0.075951,0.06352,0.168092,0.181981,0.182568,0.020345,0.010015,0.200337,0.09719
Github_mct17,0.113152,0.031737,0.160969,0.139928,0.163008,0.024981,0.021208,0.237577,0.10744
Github_Neo4j,0.111539,0.071989,0.10891,0.163135,0.13912,0.057189,0.019423,0.221976,0.10672
Github_Netty,0.052558,0.058003,0.126626,0.133269,0.178107,0.083369,0.040876,0.16797,0.159222
Github_orientdb,0.056687,0.069393,0.134164,0.152607,0.136182,0.092571,0.035514,0.165183,0.157698
Github_oryx,0.075718,0.029503,0.105276,0.185997,0.138278,0.125797,0.072527,0.162561,0.104342
Github_titan,0.086794,0.079615,0.173435,0.125552,0.106492,0.03562,0.014104,0.275117,0.103269
Promise_ant14,0.070307,0.031368,0.198174,0.116835,0.161394,0.041355,0.039064,0.222614,0.11889
Promise_camel16,0.036045,0.057795,0.127552,0.110716,0.136308,0.067261,0.081323,0.202962,0.180038
Promise_ckjm18,0,0.041493,0.180015,0.124606,0.194699,0.034531,0.014266,0.228195,0.182195
Promise_forrest08,0.086371,0.136011,0.212973,0.079896,0.150527,0.007118,0.000897,0.182408,0.143798
Promise_ivy20,0.124592,0.030938,0.195763,0.117601,0.156364,0.035246,0.030521,0.205649,0.103326
Promise_jedit43,0.333574,0.020443,0.111876,0.115591,0.145093,0.022041,0.007162,0.154422,0.089798
Promise_log4j,0.024722,0.042145,0.169299,0.160609,0.176408,0.039298,0.010909,0.255643,0.120969
Promise_lucene24,0.029536,0.052484,0.14065,0.131578,0.157387,0.047547,0.074586,0.200979,0.165255
Promise_pbeans2,0.036683,0.05655,0.148854,0.115989,0.178344,0.042456,0.047704,0.248382,0.125038
Promise_poi30,0.064135,0.049467,0.135939,0.124993,0.239228,0.039066,0.027361,0.205091,0.11472
Promise_synapse12,0.08459,0.04595,0.15395,0.139175,0.123006,0.057171,0.020581,0.242478,0.133098
Promise_velocity16,0.056437,0.050479,0.145371,0.179936,0.143091,0.050513,0.053005,0.222559,0.09861
Promise_xalan27,0.013053,0.149523,0.135628,0.071148,0.117277,0.042037,0.05355,0.233733,0.184052
Promise_xerces,0.023047,0.067897,0.106,0.134798,0.098276,0.080548,0.10571,0.172401,0.211324
AVERAGE,0.073744824,0.060193088,0.158026941,0.133001971,0.151080382,0.0515275,0.036711382,0.204723824,0.130990088
