project_name,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2,score,bug_rate
BugPrediction_Eclipse,0.719,0.43,0.044,0.98,0.973,0.2,0.172,0.153,0.114,0.427,0.227,0.175,0.448,0.99,0.381,0.044,0.237,0.005,0.001,0.2,0.265,0.512,0.35,20.66
BugPrediction_Equinox,0.702,0.402,0.033,0.718,0.643,0.248,0.263,0.201,0.161,0.412,0.32,0.245,0.549,0.947,0.611,0.118,0.448,0.016,0.003,0.2,0.032,0.084,0.334,39.5
BugPrediction_lucene,0.789,0.355,0.104,0.951,0.875,0.124,0.084,0.084,0.075,0.74,0.14,0.103,0.336,0.978,0.258,0.044,0.151,0.007,0.001,0.2,0.55,0.795,0.352,9.4
BugPrediction_Mylyn,0.812,0.474,0.066,0.99,0.977,0.182,0.14,0.137,0.109,0.591,0.201,0.132,0.45,0.993,0.34,0.051,0.206,0.004,0.001,0.2,0.393,0.661,0.369,14.88
BugPrediction_PDE,0.873,0.569,0.18,0.979,0.972,0.18,0.137,0.141,0.103,0.658,0.203,0.142,0.447,0.991,0.444,0.098,0.287,0.003,0.001,0.2,0.417,0.684,0.396,13.95
Github_Android,0.733,0.47,0.036,0.822,0.562,0.242,0.233,0.137,0.185,0.549,0.356,0.137,0.575,0.937,0.535,0.149,0.366,0.068,0.014,0.2,0.153,0.339,0.354,27.4
Github_antlr4,0.736,0.168,0.15,0.875,0.693,0.063,0.042,0.042,0.038,0.82,0.079,0.04,0.177,0.898,0.327,0.108,0.198,0.01,0.002,0.2,0.74,0.908,0.333,4.38
Github_BroadleafCommerce,0.742,0.402,0.392,0.896,0.875,0.195,0.168,0.166,0.089,0.551,0.167,0.126,0.362,0.982,0.399,0.051,0.247,0.003,0.001,0.2,0.313,0.573,0.359,18.33
Github_ceylon,0.833,0.277,0.108,0.952,0.946,0.069,0.043,0.043,0.038,0.784,0.077,0.041,0.194,0.94,0.113,0.014,0.062,0.003,0.001,0.2,0.748,0.912,0.336,4.22
Github_Elasticsearch,0.872,0.44,0.05,0.979,0.977,0.151,0.111,0.111,0.075,0.737,0.153,0.118,0.356,0.997,0.264,0.025,0.154,0.001,0,0.2,0.486,0.745,0.364,11.48
Github_hazelcast,0.794,0.376,0.345,0.998,0.994,0.142,0.102,0.105,0.07,0.68,0.127,0.097,0.384,0.995,0.283,0.046,0.171,0.001,0,0.2,0.496,0.753,0.371,11.14
Github_JUnit,0.867,0.346,0.067,0.981,0.96,0.077,0.047,0.047,0.044,0.809,0.068,0.048,0.204,0.942,0.317,0.071,0.197,0.007,0.003,0.4,0.723,0.9,0.369,4.79
Github_mapdb,0.831,0.405,0.005,0.858,0.789,0.157,0.118,0.112,0.097,0.755,0.205,0.109,0.384,0.963,0.331,0.049,0.198,0.015,0.003,0.2,0.468,0.73,0.354,12.08
Github_mcMMO,0.677,0.319,0.167,0.681,0.638,0.189,0.163,0.133,0.103,0.508,0.186,0.15,0.445,0.915,0.411,0.088,0.252,0.017,0.003,0.2,0.3,0.557,0.323,18.94
Github_mct17,0.838,0.041,0.231,0.246,0.236,0.008,0.005,0.005,0.003,0.937,0.005,0.005,0.017,0.524,0.161,0.05,0.1,0.003,0.001,0.2,0.956,0.99,0.253,0.48
Github_Neo4j,0.978,0.416,0.024,0.929,0.91,0.019,0.01,0.01,0.011,0.974,0.017,0.01,0.065,0.985,0.08,0.017,0.046,0.001,0,0.2,0.92,0.98,0.346,0.98
Github_Netty,0.817,0.521,0.258,0.986,0.967,0.235,0.215,0.218,0.125,0.507,0.22,0.214,0.521,0.993,0.47,0.062,0.308,0.004,0.001,0.2,0.21,0.433,0.386,23.71
Github_orientdb,0.829,0.479,0.254,0.973,0.966,0.182,0.141,0.143,0.088,0.638,0.156,0.161,0.44,0.994,0.361,0.05,0.218,0.003,0.001,0.2,0.386,0.654,0.378,15.16
Github_oryx,0.759,0.359,0.166,0.908,0.884,0.161,0.126,0.126,0.083,0.674,0.159,0.126,0.405,0.978,0.328,0.058,0.205,0.009,0.002,0.2,0.419,0.686,0.355,13.88
Github_titan,0.964,0.695,0.124,0.963,0.949,0.106,0.065,0.065,0.048,0.819,0.1,0.073,0.221,0.957,0.184,0.018,0.104,0.003,0.001,0.2,0.652,0.861,0.371,6.54
Promise_ant14,0.609,0.332,0.043,0.936,0.918,0.198,0.174,0.146,0.126,0.463,0.26,0.181,0.49,0.982,0.514,0.123,0.347,0.007,0.001,0.2,0.235,0.47,0.353,22.28
Promise_camel16,0.904,0.683,0.078,0.961,0.923,0.229,0.196,0.19,0.143,0.599,0.277,0.237,0.515,0.99,0.43,0.033,0.275,0.005,0.002,0.4,0.272,0.522,0.403,20.28
Promise_ckjm18,0.411,0.079,0.004,0.333,0,0,0,0,0.167,0.375,0.556,0.333,0.667,0.79,0.917,1,0.889,0.556,0.111,0.2,0.009,0.024,0.337,55.56
Promise_forrest08,0.935,0.442,0.004,0.406,0,0.095,0.062,0.062,0.062,0.867,0.188,0.062,0.188,0.719,0.877,0.52,0.708,0.156,0.031,0.2,0.663,0.867,0.369,6.25
Promise_ivy20,0.662,0.258,0.433,0.75,0.653,0.134,0.102,0.111,0.074,0.616,0.142,0.082,0.338,0.955,0.348,0.076,0.211,0.014,0.003,0.2,0.489,0.748,0.336,11.36
Promise_jedit43,0.926,0.245,0.009,0.585,0.555,0.039,0.022,0.022,0.016,0.906,0.035,0.022,0.077,0.826,0.122,0.029,0.068,0.01,0.002,0.2,0.846,0.954,0.296,2.24
Promise_log4j,0.981,0.858,0.001,0.761,0.629,0.072,0.078,0.078,0.071,0.882,0.127,0.083,0.312,0.952,0.459,0.136,0.305,0.024,0.005,0.2,0.605,0.832,0.384,92.2
Promise_lucene24,0.865,0.667,0.002,0.935,0.906,0.246,0.304,0.236,0.174,0.534,0.354,0.301,0.69,0.99,0.555,0.05,0.468,0.015,0.003,0.2,0.028,0.075,0.391,59.88
Promise_pbeans2,0.673,0.385,0.014,0.686,0.294,0.174,0.137,0.157,0.167,0.363,0.314,0.118,0.431,0.895,0.446,0.118,0.281,0.098,0.02,0.2,0.286,0.54,0.309,19.61
Promise_poi30,0.854,0.706,0.005,0.957,0.939,0.196,0.233,0.206,0.118,0.538,0.229,0.206,0.459,0.983,0.535,0.047,0.424,0.011,0.002,0.2,0.054,0.137,0.365,63.57
Promise_synapse12,0.719,0.446,0.069,0.918,0.879,0.245,0.25,0.25,0.162,0.45,0.301,0.238,0.617,0.983,0.612,0.133,0.433,0.02,0.004,0.2,0.079,0.194,0.373,33.59
Promise_velocity16,0.709,0.497,0,0.763,0.689,0.25,0.254,0.237,0.145,0.44,0.268,0.307,0.535,0.964,0.528,0.084,0.39,0.022,0.004,0.2,0.073,0.181,0.343,34.21
Promise_xalan27,0.99,0.55,0,0.3,0.149,0.012,0.012,0.012,0.004,0.983,0.008,0.009,0.032,0.811,0.336,0.1,0.207,0.006,0.001,0.2,0.906,0.976,0.3,98.79
Promise_xerces,0.882,0.663,0.001,0.819,0.725,0.222,0.282,0.255,0.133,0.657,0.238,0.269,0.458,0.975,0.665,0.139,0.539,0.009,0.002,0.2,0.152,0.337,0.392,72.53
